p,TRAINING DATA,TESTING DATA
0,5650.711907032113,6286.88196694145
1,3951.839123560106,3895.8564644739618
2,3950.68731237552,3895.5840559389185
3,3950.6825315187125,3895.582715923099
4,3950.6823367953702,3895.5826682835245
5,3950.68233517702,3895.582668704421
6,3950.6823351427824,3895.5826687190947
