p,TRAINING DATA,TESTING DATA
0,5650.71053889762,6286.404791680893
1,3930.915407315901,3845.034730173412
2,3911.8396712049525,3907.128099107936
3,3911.188664931448,3887.975538236014
4,3885.4730681122714,4443.327891813279
5,3885.40715739708,4554.830377434784
6,3866.883449446048,6833.459148719311
